ts,red,ir,green
1675891548047839,0.0,0.0,0.0
1675891548059839,0.0,0.0,0.0
1675891548071839,0.0,0.0,0.0
1675891548086839,5874.0,57910.0,684.0
1675891548098839,5874.0,57910.0,684.0
1675891548110839,5874.0,57910.0,684.0
1675891548126839,5895.0,57868.0,662.0
1675891548138839,5895.0,57868.0,662.0
1675891548150839,5895.0,57868.0,662.0
1675891548166839,5878.0,57890.0,691.0
1675891548178840,5878.0,57890.0,691.0
1675891548190840,5878.0,57890.0,691.0
1675891548206840,5906.0,57876.0,690.0
1675891548217840,5906.0,57876.0,690.0
1675891548229840,5906.0,57876.0,690.0
1675891548246840,5911.0,57906.0,713.0
1675891548258840,5911.0,57906.0,713.0
1675891548270840,5911.0,57906.0,713.0
1675891548286839,5883.0,57900.0,670.0
1675891548298839,5883.0,57900.0,670.0
1675891548310839,5883.0,57900.0,670.0
1675891548326839,5901.0,57913.0,697.0
1675891548338839,5901.0,57913.0,697.0
1675891548350839,5901.0,57913.0,697.0
1675891548366839,5931.0,57873.0,681.0
1675891548378839,5931.0,57873.0,681.0
1675891548390839,5931.0,57873.0,681.0
1675891548406839,5909.0,57901.0,684.0
1675891548418839,5909.0,57901.0,684.0
1675891548430839,5909.0,57901.0,684.0
1675891548446839,5875.0,57924.0,679.0
1675891548458840,5875.0,57924.0,679.0
1675891548470840,5875.0,57924.0,679.0
1675891548486840,5939.0,57891.0,681.0
1675891548498840,5939.0,57891.0,681.0
1675891548509840,5939.0,57891.0,681.0
1675891548526839,5934.0,57879.0,687.0
1675891548538839,5934.0,57879.0,687.0
1675891548550839,5934.0,57879.0,687.0
1675891548566839,5946.0,57891.0,720.0
1675891548578839,5946.0,57891.0,720.0
1675891548590839,5946.0,57891.0,720.0
1675891548606839,5894.0,57910.0,691.0
1675891548618839,5894.0,57910.0,691.0
1675891548630839,5894.0,57910.0,691.0
1675891548646839,5892.0,57901.0,664.0
1675891548658839,5892.0,57901.0,664.0
1675891548670839,5892.0,57901.0,664.0
1675891548686839,5904.0,57888.0,664.0
1675891548698840,5904.0,57888.0,664.0
1675891548710840,5904.0,57888.0,664.0
1675891548726840,5908.0,57907.0,709.0
1675891548738840,5908.0,57907.0,709.0
1675891548750840,5908.0,57907.0,709.0
1675891548766839,5899.0,57879.0,696.0
1675891548778839,5899.0,57879.0,696.0
1675891548790839,5899.0,57879.0,696.0
1675891548806839,5911.0,57915.0,689.0
1675891548818839,5911.0,57915.0,689.0
1675891548830839,5911.0,57915.0,689.0
1675891548846839,5915.0,57895.0,681.0
1675891548858839,5915.0,57895.0,681.0
1675891548870839,5915.0,57895.0,681.0
1675891548886839,5905.0,57925.0,697.0
1675891548898839,5905.0,57925.0,697.0
1675891548910839,5905.0,57925.0,697.0
1675891548926839,5874.0,57909.0,658.0
1675891548938840,5874.0,57909.0,658.0
1675891548950840,5874.0,57909.0,658.0
1675891548966840,5912.0,57878.0,673.0
1675891548978840,5912.0,57878.0,673.0
1675891548990840,5912.0,57878.0,673.0
1675891549006839,5893.0,57883.0,665.0
1675891549018839,5893.0,57883.0,665.0
1675891549030839,5893.0,57883.0,665.0
1675891549046839,5903.0,57867.0,672.0
1675891549058839,5903.0,57867.0,672.0
1675891549070839,5903.0,57867.0,672.0
1675891549086839,5899.0,57896.0,675.0
1675891549098839,5899.0,57896.0,675.0
1675891549110839,5899.0,57896.0,675.0
1675891549126839,5898.0,57886.0,674.0
1675891549138839,5898.0,57886.0,674.0
1675891549150839,5898.0,57886.0,674.0
1675891549166839,5905.0,57892.0,681.0
1675891549178840,5905.0,57892.0,681.0
1675891549190840,5905.0,57892.0,681.0
1675891549206840,5890.0,57891.0,679.0
1675891549217840,5890.0,57891.0,679.0
1675891549229840,5890.0,57891.0,679.0
1675891549246839,5899.0,57884.0,669.0
1675891549258839,5899.0,57884.0,669.0
1675891549270839,5899.0,57884.0,669.0
1675891549286839,5913.0,57893.0,675.0
1675891549298839,5913.0,57893.0,675.0
1675891549310839,5913.0,57893.0,675.0
1675891549326839,5910.0,57906.0,694.0
1675891549338839,5910.0,57906.0,694.0
1675891549350839,5910.0,57906.0,694.0
1675891549366839,5919.0,57866.0,688.0
1675891549378839,5919.0,57866.0,688.0
1675891549390839,5919.0,57866.0,688.0
1675891549406839,5908.0,57867.0,672.0
1675891549418840,5908.0,57867.0,672.0
1675891549430840,5908.0,57867.0,672.0
1675891549446840,5901.0,57903.0,687.0
1675891549458840,5901.0,57903.0,687.0
1675891549470840,5901.0,57903.0,687.0
1675891549486839,5887.0,57880.0,685.0
1675891549498839,5887.0,57880.0,685.0
1675891549509839,5887.0,57880.0,685.0
1675891549526839,5922.0,57913.0,669.0
1675891549538839,5922.0,57913.0,669.0
1675891549550839,5922.0,57913.0,669.0
1675891549566839,5881.0,57890.0,704.0
1675891549578839,5881.0,57890.0,704.0
1675891549590839,5881.0,57890.0,704.0
1675891549606839,5888.0,57887.0,669.0
1675891549618839,5888.0,57887.0,669.0
1675891549630839,5888.0,57887.0,669.0
1675891549646839,5920.0,57882.0,702.0
1675891549658839,5920.0,57882.0,702.0
1675891549670839,5920.0,57882.0,702.0
1675891549686839,5884.0,57861.0,676.0
1675891549698840,5884.0,57861.0,676.0
1675891549710840,5884.0,57861.0,676.0
1675891549726839,5898.0,57868.0,664.0
1675891549738839,5898.0,57868.0,664.0
1675891549750839,5898.0,57868.0,664.0
1675891549766839,5905.0,57888.0,670.0
1675891549778839,5905.0,57888.0,670.0
1675891549790839,5905.0,57888.0,670.0
1675891549805839,5904.0,57853.0,695.0
1675891549817839,5904.0,57853.0,695.0
1675891549829839,5904.0,57853.0,695.0
1675891549846839,5904.0,57913.0,672.0
1675891549858839,5904.0,57913.0,672.0
1675891549870839,5904.0,57913.0,672.0
1675891549885840,5890.0,57886.0,688.0
1675891549897840,5890.0,57886.0,688.0
1675891549909840,5890.0,57886.0,688.0
1675891549925840,5902.0,57914.0,701.0
1675891549937840,5902.0,57914.0,701.0
1675891549949840,5902.0,57914.0,701.0
1675891549966839,5889.0,57918.0,703.0
1675891549978839,5889.0,57918.0,703.0
1675891549990839,5889.0,57918.0,703.0
1675891550006839,5911.0,57900.0,666.0
1675891550018839,5911.0,57900.0,666.0
1675891550030839,5911.0,57900.0,666.0
1675891550046839,5911.0,57921.0,675.0
1675891550058839,5911.0,57921.0,675.0
1675891550070839,5911.0,57921.0,675.0
1675891550086839,5891.0,57917.0,722.0
1675891550098839,5891.0,57917.0,722.0
1675891550110839,5891.0,57917.0,722.0
1675891550126840,5895.0,57878.0,668.0
1675891550138840,5895.0,57878.0,668.0
1675891550150840,5895.0,57878.0,668.0
1675891550166840,5900.0,57893.0,699.0
1675891550178840,5900.0,57893.0,699.0
1675891550190840,5900.0,57893.0,699.0
1675891550206839,5916.0,57890.0,681.0
1675891550217839,5916.0,57890.0,681.0
1675891550229839,5916.0,57890.0,681.0
1675891550246839,5912.0,57936.0,713.0
1675891550258839,5912.0,57936.0,713.0
1675891550270839,5912.0,57936.0,713.0
1675891550286839,5884.0,57922.0,674.0
1675891550298839,5884.0,57922.0,674.0
1675891550310839,5884.0,57922.0,674.0
1675891550326839,5926.0,57957.0,691.0
1675891550338839,5926.0,57957.0,691.0
1675891550350839,5926.0,57957.0,691.0
1675891550366839,5895.0,57901.0,686.0
1675891550378839,5895.0,57901.0,686.0
1675891550390839,5895.0,57901.0,686.0
1675891550406839,5870.0,57906.0,699.0
1675891550418840,5870.0,57906.0,699.0
1675891550430840,5870.0,57906.0,699.0
1675891550446839,5905.0,57889.0,694.0
1675891550458839,5905.0,57889.0,694.0
1675891550470839,5905.0,57889.0,694.0
1675891550486839,5902.0,57925.0,669.0
1675891550498839,5902.0,57925.0,669.0
1675891550509839,5902.0,57925.0,669.0
1675891550526839,5889.0,57901.0,686.0
1675891550538839,5889.0,57901.0,686.0
1675891550550839,5889.0,57901.0,686.0
1675891550566839,5898.0,57865.0,693.0
1675891550578839,5898.0,57865.0,693.0
1675891550590839,5898.0,57865.0,693.0
1675891550606839,5912.0,57881.0,690.0
1675891550618839,5912.0,57881.0,690.0
1675891550630839,5912.0,57881.0,690.0
1675891550645840,5896.0,57884.0,698.0
1675891550657840,5896.0,57884.0,698.0
1675891550669840,5896.0,57884.0,698.0
1675891550686839,5915.0,57887.0,700.0
1675891550698839,5915.0,57887.0,700.0
1675891550710839,5915.0,57887.0,700.0
1675891550726839,5908.0,57893.0,670.0
1675891550738839,5908.0,57893.0,670.0
1675891550750839,5908.0,57893.0,670.0
1675891550765839,5886.0,57919.0,683.0
1675891550777839,5886.0,57919.0,683.0
1675891550789839,5886.0,57919.0,683.0
1675891550806839,5902.0,57893.0,702.0
1675891550818839,5902.0,57893.0,702.0
1675891550830839,5902.0,57893.0,702.0
1675891550845840,5867.0,57876.0,697.0
1675891550857840,5867.0,57876.0,697.0
1675891550869840,5867.0,57876.0,697.0
1675891550885840,5883.0,57909.0,681.0
1675891550897840,5883.0,57909.0,681.0
1675891550909840,5883.0,57909.0,681.0
1675891550925839,5892.0,57905.0,686.0
1675891550937839,5892.0,57905.0,686.0
1675891550949839,5892.0,57905.0,686.0
1675891550966839,5903.0,57920.0,683.0
1675891550978839,5903.0,57920.0,683.0
1675891550990839,5903.0,57920.0,683.0
1675891551006839,5884.0,57894.0,697.0
1675891551018839,5884.0,57894.0,697.0
1675891551030839,5884.0,57894.0,697.0
1675891551046839,5908.0,57879.0,693.0
1675891551058839,5908.0,57879.0,693.0
1675891551070839,5908.0,57879.0,693.0
1675891551086839,5894.0,57893.0,692.0
1675891551098839,5894.0,57893.0,692.0
1675891551110839,5894.0,57893.0,692.0
1675891551126840,5918.0,57917.0,691.0
1675891551138840,5918.0,57917.0,691.0
1675891551150840,5918.0,57917.0,691.0
1675891551166839,5889.0,57921.0,685.0
1675891551178839,5889.0,57921.0,685.0
1675891551190839,5889.0,57921.0,685.0
1675891551206839,5899.0,57932.0,671.0
1675891551217839,5899.0,57932.0,671.0
1675891551229839,5899.0,57932.0,671.0
1675891551246839,5890.0,57911.0,666.0
1675891551258839,5890.0,57911.0,666.0
1675891551270839,5890.0,57911.0,666.0
1675891551286839,5887.0,57881.0,685.0
1675891551298839,5887.0,57881.0,685.0
1675891551310839,5887.0,57881.0,685.0
1675891551326839,5876.0,57915.0,674.0
1675891551338839,5876.0,57915.0,674.0
1675891551350839,5876.0,57915.0,674.0
1675891551366840,5878.0,57908.0,670.0
1675891551378840,5878.0,57908.0,670.0
1675891551390840,5878.0,57908.0,670.0
1675891551406839,5912.0,57897.0,682.0
1675891551418839,5912.0,57897.0,682.0
1675891551430839,5912.0,57897.0,682.0
1675891551446839,5905.0,57880.0,704.0
1675891551458839,5905.0,57880.0,704.0
1675891551470839,5905.0,57880.0,704.0
1675891551486839,5917.0,57874.0,681.0
1675891551498839,5917.0,57874.0,681.0
1675891551509839,5917.0,57874.0,681.0
1675891551526839,5894.0,57887.0,681.0
1675891551538839,5894.0,57887.0,681.0
1675891551550839,5894.0,57887.0,681.0
1675891551566839,5897.0,57901.0,696.0
1675891551578839,5897.0,57901.0,696.0
1675891551590839,5897.0,57901.0,696.0
1675891551605840,5899.0,57892.0,694.0
1675891551617840,5899.0,57892.0,694.0
1675891551629840,5899.0,57892.0,694.0
1675891551646839,5909.0,57912.0,678.0
1675891551658839,5909.0,57912.0,678.0
1675891551670839,5909.0,57912.0,678.0
1675891551685839,5883.0,57855.0,683.0
1675891551697839,5883.0,57855.0,683.0
1675891551709839,5883.0,57855.0,683.0
1675891551725839,5897.0,57947.0,689.0
1675891551737839,5897.0,57947.0,689.0
1675891551749839,5897.0,57947.0,689.0
1675891551765839,5894.0,57923.0,668.0
1675891551777840,5894.0,57923.0,668.0
1675891551789840,5894.0,57923.0,668.0
1675891551805840,5897.0,57890.0,704.0
1675891551817840,5897.0,57890.0,704.0
1675891551829840,5897.0,57890.0,704.0
1675891551845840,5902.0,57869.0,692.0
1675891551857840,5902.0,57869.0,692.0
1675891551869840,5902.0,57869.0,692.0
1675891551885839,5915.0,57934.0,683.0
1675891551897839,5915.0,57934.0,683.0
1675891551909839,5915.0,57934.0,683.0
1675891551925839,5921.0,57924.0,690.0
1675891551937839,5921.0,57924.0,690.0
1675891551949839,5921.0,57924.0,690.0
1675891551966839,5906.0,57888.0,671.0
1675891551978839,5906.0,57888.0,671.0
1675891551990839,5906.0,57888.0,671.0
1675891552006839,5892.0,57866.0,684.0
1675891552018839,5892.0,57866.0,684.0
1675891552030839,5892.0,57866.0,684.0
1675891552046839,5891.0,57900.0,680.0
1675891552058839,5891.0,57900.0,680.0
1675891552070840,5891.0,57900.0,680.0
